n,r,m
"(:Exo {exoId: 3, exoDescription: De Paexo Neck is een passief exoskelet dat de nek ontlast bij het statisch achteroverbuigen van het hoofd., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Neck, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: handen boven hoofdniveau statisch, structureKinematicNameId: 403, structureKinematicNameNameEn: hands above head level static, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 3, exoDescription: De Paexo Neck is een passief exoskelet dat de nek ontlast bij het statisch achteroverbuigen van het hoofd., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Neck, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_PROPERTY {exoPropertyValue: ja}],(:ExoProperty {exoPropertyName: compact})
"(:Exo {exoId: 3, exoDescription: De Paexo Neck is een passief exoskelet dat de nek ontlast bij het statisch achteroverbuigen van het hoofd., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Neck, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_PROPERTY {exoPropertyValue: ja}],(:ExoProperty {exoPropertyName: stofbestendig})
"(:Exo {exoId: 3, exoDescription: De Paexo Neck is een passief exoskelet dat de nek ontlast bij het statisch achteroverbuigen van het hoofd., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Neck, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_PROPERTY {exoPropertyValue: ja}],(:ExoProperty {exoPropertyName: waterbestendig})
"(:Exo {exoId: 4, exoDescription: De Paexo Wrist is een passief exosuit dat de pols ondersteunt bij het hanteren van lasten., exoMaterial: zachte materialen, exoOneTwoSided: eenzijdig, exoActivePassive: passief, exoName: Paexo Wrist, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: pols ulnaire deviatie > 15� of radiale deviatie > 20�, structureKinematicNameId: 601, structureKinematicNameNameEn: wrist ulnar deviation > 15� or radial deviation > 20�, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 4, exoDescription: De Paexo Wrist is een passief exosuit dat de pols ondersteunt bij het hanteren van lasten., exoMaterial: zachte materialen, exoOneTwoSided: eenzijdig, exoActivePassive: passief, exoName: Paexo Wrist, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: pols flexie/extensie > 45�, structureKinematicNameId: 602, structureKinematicNameNameEn: wrist flexion/extension > 45�, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 4, exoDescription: De Paexo Wrist is een passief exosuit dat de pols ondersteunt bij het hanteren van lasten., exoMaterial: zachte materialen, exoOneTwoSided: eenzijdig, exoActivePassive: passief, exoName: Paexo Wrist, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_PROPERTY {exoPropertyValue: ja}],(:ExoProperty {exoPropertyName: compact})
"(:Exo {exoId: 5, exoDescription: De SuitX BackX is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SuitX BackX, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {aimCategory: HAS_AIM_nevendoel}],"(:Aim {aimId: 101, aimIsSelectable: x, aimNameEn: repositioning, aimName: herpositioneren, aimDescription: eerder horizontaal, niet specifiek naar boven of naar onder})"
"(:Exo {exoId: 5, exoDescription: De SuitX BackX is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SuitX BackX, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {aimCategory: HAS_AIM_hoofddoel}],"(:Aim {aimId: 102, aimIsSelectable: x, aimNameEn: repositioning lifting, aimName: herpositioneren opwaarts})"
"(:Exo {exoId: 5, exoDescription: De SuitX BackX is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SuitX BackX, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {aimCategory: HAS_AIM_nevendoel}],"(:Aim {aimId: 103, aimIsSelectable: x, aimNameEn: repositioning lowering, aimName: herpositioneren neerwaarts})"
"(:Exo {exoId: 5, exoDescription: De SuitX BackX is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SuitX BackX, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {aimCategory: HAS_AIM_nevendoel}],"(:Aim {aimId: 104, aimIsSelectable: x, aimNameEn: carrying, aimName: dragen})"
"(:Exo {exoId: 5, exoDescription: De SuitX BackX is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SuitX BackX, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {aimCategory: HAS_AIM_nevendoel}],"(:Aim {aimId: 105, aimIsSelectable: x, aimNameEn: holding, aimName: vasthouden})"
"(:Exo {exoId: 5, exoDescription: De SuitX BackX is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SuitX BackX, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: voorovergebogen statisch, structureKinematicNameId: 302, structureKinematicNameNameEn: bent forward static, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 5, exoDescription: De SuitX BackX is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SuitX BackX, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: voorovergebogen repetitief, structureKinematicNameId: 303, structureKinematicNameNameEn: bent forward repetitive, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 5, exoDescription: De SuitX BackX is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SuitX BackX, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: sterk voorovergebogen statisch, structureKinematicNameId: 304, structureKinematicNameNameEn: strongly bent forward static, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 5, exoDescription: De SuitX BackX is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: SuitX BackX, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: sterk voorovergebogen repetitief, structureKinematicNameId: 305, structureKinematicNameNameEn: strongly bent forward repetitive, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})","[:ASSISTS_IN {aim: Ja, rangeAdjustable: Nee, lowerBoundMinAngle: 25, lowerBoundMaxAngle: 25, upperBoundMinAngle: 180, sizeAdjustable: Ja, upperBoundMaxAngle: 180, direction: 1}]","(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})","[:ASSISTS_IN {aim: Ja, rangeAdjustable: Nee, lowerBoundMinAngle: 35, lowerBoundMaxAngle: 35, upperBoundMinAngle: 140, sizeAdjustable: Ja, upperBoundMaxAngle: 140, direction: 1}]","(:Dof {dofId: 13, nameNeg: adductie van de schouder, dofDirection: AddAbd, namePos: abductie van de schouder, dofName: Abductie(+)/Adductie(-)_Schouder})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: elleboog op of boven schouderniveau statisch, structureKinematicNameId: 401, structureKinematicNameNameEn: elbow at or above shoulder level static, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_nevendoel}],"(:StructureKinematicName {structureKinematicNameName: elleboog op of boven schouderniveau repetitief, structureKinematicNameId: 402, structureKinematicNameNameEn: elbow at or above shoulder level repetitive, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: handen boven hoofdniveau statisch, structureKinematicNameId: 403, structureKinematicNameNameEn: hands above head level static, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_nevendoel}],"(:StructureKinematicName {structureKinematicNameName: handen boven hoofdniveau repetitief, structureKinematicNameId: 404, structureKinematicNameNameEn: hands above head level repetitive, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})",[:HAS_PROPERTY {exoPropertyValue: nee}],(:ExoProperty {exoPropertyName: compact})
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})",[:HAS_PROPERTY {exoPropertyValue: ja}],(:ExoProperty {exoPropertyName: stofbestendig})
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})",[:HAS_PROPERTY {exoPropertyValue: ja}],(:ExoProperty {exoPropertyName: waterbestendig})
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})",[:HAS_PROPERTY {exoPropertyValue: ++}],(:ExoProperty {exoPropertyName: ondersteuningsgraad})
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})","[:ASSISTS_IN {aim: Nee, rangeAdjustable: Ja, lowerBoundMinAngle: 15, lowerBoundMaxAngle: 90, sizeAdjustable: Nee, direction: -1}]","(:Dof {dofId: 1, nameNeg: extensie van de rug, dofDirection: ExtFlex, namePos: flexie van de rug, dofName: Flexie(+)/Extensie(-)_Rug})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})","[:ASSISTS_IN {aim: Nee, rangeAdjustable: Ja, lowerBoundMinAngle: 15, lowerBoundMaxAngle: 90, sizeAdjustable: Nee, direction: -1}]","(:Dof {dofId: 4, nameNeg: extensie van de heup, dofDirection: ExtFlex, namePos: flexie van de heup, dofName: Flexie(+)/Extensie(-)_Heup})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {aimCategory: HAS_AIM_nevendoel}],"(:Aim {aimId: 101, aimIsSelectable: x, aimNameEn: repositioning, aimName: herpositioneren, aimDescription: eerder horizontaal, niet specifiek naar boven of naar onder})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {aimCategory: HAS_AIM_hoofddoel}],"(:Aim {aimId: 102, aimIsSelectable: x, aimNameEn: repositioning lifting, aimName: herpositioneren opwaarts})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {aimCategory: HAS_AIM_nevendoel}],"(:Aim {aimId: 103, aimIsSelectable: x, aimNameEn: repositioning lowering, aimName: herpositioneren neerwaarts})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {aimCategory: HAS_AIM_nevendoel}],"(:Aim {aimId: 104, aimIsSelectable: x, aimNameEn: carrying, aimName: dragen})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {aimCategory: HAS_AIM_nevendoel}],"(:Aim {aimId: 105, aimIsSelectable: x, aimNameEn: holding, aimName: vasthouden})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: voorovergebogen statisch, structureKinematicNameId: 302, structureKinematicNameNameEn: bent forward static, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: voorovergebogen repetitief, structureKinematicNameId: 303, structureKinematicNameNameEn: bent forward repetitive, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: sterk voorovergebogen statisch, structureKinematicNameId: 304, structureKinematicNameNameEn: strongly bent forward static, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {structureKinematicNameCategory: HAS_AIM_hoofddoel}],"(:StructureKinematicName {structureKinematicNameName: sterk voorovergebogen repetitief, structureKinematicNameId: 305, structureKinematicNameNameEn: strongly bent forward repetitive, structureKinematicNameIsSelectable: x})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_PROPERTY {exoPropertyValue: nee}],(:ExoProperty {exoPropertyName: compact})
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_PROPERTY {exoPropertyValue: ++}],(:ExoProperty {exoPropertyName: ondersteuningsgraad})
"(:Exo {exoId: 8, exoDescription: De Paexo Soft Back is een passief exosuit dat de onderrug ontlast bij het staan en het dragen van lichtere lasten zoals bv. bij langdurig staand assemblagewerk, orderpicking, het hanteren van lichtere lasten en pakketbezorging., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Soft Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {aimCategory: HAS_AIM_nevendoel}],"(:Aim {aimId: 101, aimIsSelectable: x, aimNameEn: repositioning, aimName: herpositioneren, aimDescription: eerder horizontaal, niet specifiek naar boven of naar onder})"
"(:Exo {exoId: 8, exoDescription: De Paexo Soft Back is een passief exosuit dat de onderrug ontlast bij het staan en het dragen van lichtere lasten zoals bv. bij langdurig staand assemblagewerk, orderpicking, het hanteren van lichtere lasten en pakketbezorging., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Soft Back, exoManufacturer: Ottobock Bionic Exoskeletons})",[:HAS_AIM {aimCategory: HAS_AIM_hoofddoel}],"(:Aim {aimId: 102, aimIsSelectable: x, aimNameEn: repositioning lifting, aimName: herpositioneren opwaarts})"
