n,r,m
"(:StructureKinematicName {structureKinematicNameName: staan, structureKinematicNameId: 201, structureKinematicNameNameEn: standing, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Globaal, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Global})"
"(:StructureKinematicName {structureKinematicNameName: wandelen, structureKinematicNameId: 202, structureKinematicNameNameEn: walking, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Globaal, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Global})"
"(:StructureKinematicName {structureKinematicNameName: knielen, hurken (statisch), structureKinematicNameId: 203, structureKinematicNameNameEn: kneeling / crouching static, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Globaal, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Global})"
"(:StructureKinematicName {structureKinematicNameName: knielen, hurken (repetitief), structureKinematicNameId: 204, structureKinematicNameNameEn: kneeling / crouching repetitive, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Globaal, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Global})"
"(:StructureKinematicName {structureKinematicNameName: liggen, structureKinematicNameId: 205, structureKinematicNameNameEn: lying, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Globaal, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Global})"
"(:StructureKinematicName {structureKinematicNameName: zitten, structureKinematicNameId: 206, structureKinematicNameNameEn: sitting, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Globaal, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Global})"
"(:StructureKinematicName {structureKinematicNameName: zitten repetitief, structureKinematicNameId: 207, structureKinematicNameNameEn: sitting repetitive, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Globaal, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Global})"
"(:StructureKinematicName {structureKinematicNameName: steun (staan), structureKinematicNameId: 251, structureKinematicNameNameEn: support (standing)})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Steun, structureKinematicNameTypeNameEn: Support})"
"(:StructureKinematicName {structureKinematicNameName: rugsteun (zitten), structureKinematicNameId: 252, structureKinematicNameNameEn: backsupport (sitting)})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Steun, structureKinematicNameTypeNameEn: Support})"
"(:StructureKinematicName {structureKinematicNameName: geen steun, structureKinematicNameId: 253, structureKinematicNameNameEn: no support})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Steun, structureKinematicNameTypeNameEn: Support})"
"(:StructureKinematicName {structureKinematicNameName: rechtop, structureKinematicNameId: 301, structureKinematicNameNameEn: upright, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Romp, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Trunk})"
"(:StructureKinematicName {structureKinematicNameName: voorovergebogen statisch, structureKinematicNameId: 302, structureKinematicNameNameEn: bent forward static, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Romp, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Trunk})"
"(:StructureKinematicName {structureKinematicNameName: voorovergebogen repetitief, structureKinematicNameId: 303, structureKinematicNameNameEn: bent forward repetitive, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Romp, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Trunk})"
"(:StructureKinematicName {structureKinematicNameName: sterk voorovergebogen statisch, structureKinematicNameId: 304, structureKinematicNameNameEn: strongly bent forward static, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Romp, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Trunk})"
"(:StructureKinematicName {structureKinematicNameName: sterk voorovergebogen repetitief, structureKinematicNameId: 305, structureKinematicNameNameEn: strongly bent forward repetitive, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Romp, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Trunk})"
"(:StructureKinematicName {structureKinematicNameName: elleboog op of boven schouderniveau statisch, structureKinematicNameId: 401, structureKinematicNameNameEn: elbow at or above shoulder level static, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Armen, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Arms})"
"(:StructureKinematicName {structureKinematicNameName: elleboog op of boven schouderniveau repetitief, structureKinematicNameId: 402, structureKinematicNameNameEn: elbow at or above shoulder level repetitive, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Armen, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Arms})"
"(:StructureKinematicName {structureKinematicNameName: handen boven hoofdniveau statisch, structureKinematicNameId: 403, structureKinematicNameNameEn: hands above head level static, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Armen, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Arms})"
"(:StructureKinematicName {structureKinematicNameName: handen boven hoofdniveau repetitief, structureKinematicNameId: 404, structureKinematicNameNameEn: hands above head level repetitive, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Armen, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Arms})"
"(:StructureKinematicName {structureKinematicNameName: geen risicovolle armbewegingen, structureKinematicNameId: 405, structureKinematicNameNameEn: no hazardous arm movements})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Armen, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Arms})"
"(:StructureKinematicName {structureKinematicNameName: statische acties bovenste lidmaat, structureKinematicNameId: 406, structureKinematicNameNameEn: upper limb static actions, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Armen, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Arms})"
"(:StructureKinematicName {structureKinematicNameName: dynamische acties bovenste lidmaat, structureKinematicNameId: 407, structureKinematicNameNameEn: upper limb dynamic actions, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Armen, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Arms})"
"(:StructureKinematicName {structureKinematicNameName: romprotatie, statisch, structureKinematicNameId: 501, structureKinematicNameNameEn: trunk rotation, static, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Romprotatie, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Trunk rotation})"
"(:StructureKinematicName {structureKinematicNameName: romprotatie, dynamisch, structureKinematicNameId: 502, structureKinematicNameNameEn: trunk rotation, dynamic, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Romprotatie, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Trunk rotation})"
"(:StructureKinematicName {structureKinematicNameName: geen romprotatie, structureKinematicNameId: 503, structureKinematicNameNameEn: no trunk rotation, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Romprotatie, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Trunk rotation})"
"(:StructureKinematicName {structureKinematicNameName: zijwaartse buiging statisch, structureKinematicNameId: 504, structureKinematicNameNameEn: lateral bending static, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Zijwaartse rompbuiging, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Lateral trunk bending})"
"(:StructureKinematicName {structureKinematicNameName: zijwaartse buiging dynamisch, structureKinematicNameId: 505, structureKinematicNameNameEn: lateral bending dynamic, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Zijwaartse rompbuiging, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Lateral trunk bending})"
"(:StructureKinematicName {structureKinematicNameName: geen zijwaartse buiging, structureKinematicNameId: 506, structureKinematicNameNameEn: no lateral bending, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Zijwaartse rompbuiging, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Lateral trunk bending})"
"(:StructureKinematicName {structureKinematicNameName: ver reiken statisch, structureKinematicNameId: 507, structureKinematicNameNameEn: far reach static, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Ver reiken (arm), structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Far reach (arm)})"
"(:StructureKinematicName {structureKinematicNameName: ver reiken dynamisch, structureKinematicNameId: 508, structureKinematicNameNameEn: far reach dynamic, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Ver reiken (arm), structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Far reach (arm)})"
"(:StructureKinematicName {structureKinematicNameName: niet ver reiken, structureKinematicNameId: 509, structureKinematicNameNameEn: no far reach, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Ver reiken (arm), structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Far reach (arm)})"
"(:StructureKinematicName {structureKinematicNameName: pols ulnaire deviatie > 15� of radiale deviatie > 20�, structureKinematicNameId: 601, structureKinematicNameNameEn: wrist ulnar deviation > 15� or radial deviation > 20�, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Ongemakkelijke posities bovenste lidmaat, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Upper limb awkward positions})"
"(:StructureKinematicName {structureKinematicNameName: pols flexie/extensie > 45�, structureKinematicNameId: 602, structureKinematicNameNameEn: wrist flexion/extension > 45�, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Ongemakkelijke posities bovenste lidmaat, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Upper limb awkward positions})"
"(:StructureKinematicName {structureKinematicNameName: elleboog pronatie/supinatie > 60�, structureKinematicNameId: 603, structureKinematicNameNameEn: elbow pronation/supination > 60�, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Ongemakkelijke posities bovenste lidmaat, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Upper limb awkward positions})"
"(:StructureKinematicName {structureKinematicNameName: elleboog flexie/extensie > 60�, structureKinematicNameId: 604, structureKinematicNameNameEn: elbow flexion/extension > 60�, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Ongemakkelijke posities bovenste lidmaat, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Upper limb awkward positions})"
"(:StructureKinematicName {structureKinematicNameName: schouderextensie > 20�, structureKinematicNameId: 605, structureKinematicNameNameEn: shoulder extension > 20�, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Ongemakkelijke posities bovenste lidmaat, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Upper limb awkward positions})"
"(:StructureKinematicName {structureKinematicNameName: schouderabductie > 45�, structureKinematicNameId: 606, structureKinematicNameNameEn: shoulder abduction > 45�, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Ongemakkelijke posities bovenste lidmaat, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Upper limb awkward positions})"
"(:StructureKinematicName {structureKinematicNameName: schouderflexie > 80�, structureKinematicNameId: 607, structureKinematicNameNameEn: shoulder flexion > 80�, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Ongemakkelijke posities bovenste lidmaat, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Upper limb awkward positions})"
"(:StructureKinematicName {structureKinematicNameName: geen ongemakkelijke posities bovenste lidmaat, structureKinematicNameId: 608, structureKinematicNameNameEn: no upper limb awkward positions, structureKinematicNameIsSelectable: x})",[:HAS_SKNTYPE],"(:StructureKinematicNameType {structureKinematicNameTypeName: Ongemakkelijke posities bovenste lidmaat, structureKinematicNameTypeIsSelectable: x, structureKinematicNameTypeNameEn: Upper limb awkward positions})"
