n,r,m
"(:Exo {exoId: 2, exoDescription: De Paexo Shoulder is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Shoulder, exoManufacturer: Ottobock Bionic Exoskeletons})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Nee, lowerBoundMinAngle: 40, lowerBoundMaxAngle: 40, upperBoundMinAngle: 150, sizeAdjustable: Nee, mechanism: door momentenevenwicht, upperBoundMaxAngle: 150, direction: -1}]","(:Dof {dofId: 13, nameNeg: adductie van de schouder, dofDirection: AddAbd, namePos: abductie van de schouder, dofName: Abductie(+)/Adductie(-)_Schouder})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Nee, lowerBoundMinAngle: 25, lowerBoundMaxAngle: 25, upperBoundMinAngle: 180, sizeAdjustable: Ja, mechanism: door momentenevenwicht, upperBoundMaxAngle: 180, direction: -1}]","(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
"(:Exo {exoId: 6, exoDescription: De Mate-XT is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Mate-XT, exoManufacturer: Comau})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Nee, lowerBoundMinAngle: 35, lowerBoundMaxAngle: 35, upperBoundMinAngle: 140, sizeAdjustable: Ja, mechanism: door momentenevenwicht, upperBoundMaxAngle: 140, direction: -1}]","(:Dof {dofId: 13, nameNeg: adductie van de schouder, dofDirection: AddAbd, namePos: abductie van de schouder, dofName: Abductie(+)/Adductie(-)_Schouder})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Ja, lowerBoundMinAngle: 15, lowerBoundMaxAngle: 90, sizeAdjustable: Nee, mechanism: door momentenevenwicht, direction: 1}]","(:Dof {dofId: 1, nameNeg: extensie van de rug, dofDirection: ExtFlex, namePos: flexie van de rug, dofName: Flexie(+)/Extensie(-)_Rug})"
"(:Exo {exoId: 7, exoDescription: De Paexo Back is een passief exoskelet dat de rug en heupen ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Paexo Back, exoManufacturer: Ottobock Bionic Exoskeletons})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Ja, lowerBoundMinAngle: 15, lowerBoundMaxAngle: 90, sizeAdjustable: Nee, mechanism: door momentenevenwicht, direction: 1}]","(:Dof {dofId: 4, nameNeg: extensie van de heup, dofDirection: ExtFlex, namePos: flexie van de heup, dofName: Flexie(+)/Extensie(-)_Heup})"
"(:Exo {exoId: 25, exoDescription: De CareExo Lift is een passief exosuit, specifiek voor de zorg ontwikkeld, dat de rug, heup en knieën ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij patiëntentransfers., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CareExo Lift, exoManufacturer: Hunic})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Nee, sizeAdjustable: Ja, mechanism: door momentenevenwicht, direction: 1}]","(:Dof {dofId: 1, nameNeg: extensie van de rug, dofDirection: ExtFlex, namePos: flexie van de rug, dofName: Flexie(+)/Extensie(-)_Rug})"
"(:Exo {exoId: 25, exoDescription: De CareExo Lift is een passief exosuit, specifiek voor de zorg ontwikkeld, dat de rug, heup en knieën ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij patiëntentransfers., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CareExo Lift, exoManufacturer: Hunic})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Nee, sizeAdjustable: Ja, mechanism: door momentenevenwicht, direction: 1}]","(:Dof {dofId: 4, nameNeg: extensie van de heup, dofDirection: ExtFlex, namePos: flexie van de heup, dofName: Flexie(+)/Extensie(-)_Heup})"
"(:Exo {exoId: 25, exoDescription: De CareExo Lift is een passief exosuit, specifiek voor de zorg ontwikkeld, dat de rug, heup en knieën ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij patiëntentransfers., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CareExo Lift, exoManufacturer: Hunic})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Nee, sizeAdjustable: Ja, mechanism: door momentenevenwicht, direction: 1}]","(:Dof {dofId: 19, nameNeg: extensie van de knie, dofDirection: ExtFlex, namePos: flexie van de knie, dofName: Flexie(+)/Extensie(-)_Knie})"
"(:Exo {exoId: 25, exoDescription: De CareExo Lift is een passief exosuit, specifiek voor de zorg ontwikkeld, dat de rug, heup en knieën ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij patiëntentransfers., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: CareExo Lift, exoManufacturer: Hunic})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, adjustable: Nee, mechanism: door blokkage, direction: 1}]","(:Dof {dofId: 19, nameNeg: extensie van de knie, dofDirection: ExtFlex, namePos: flexie van de knie, dofName: Flexie(+)/Extensie(-)_Knie})"
"(:Exo {exoId: 29, exoDescription: De Chairless Chair is een passief exoskelet dat de benen en onderrug ontlast doordat er snel, gemakkelijk en flexibel gewisseld kan worden tussen zitten, staan en lopen., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Chairless Chair, exoManufacturer: Noonee})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, maxAngle: 95, minAngle: 45, adjustable: Ja, mechanism: door blokkage, direction: 1}]","(:Dof {dofId: 19, nameNeg: extensie van de knie, dofDirection: ExtFlex, namePos: flexie van de knie, dofName: Flexie(+)/Extensie(-)_Knie})"
"(:Exo {exoId: 35, exoDescription: De LiftSuit is een passief exosuit dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: LiftSuit 2.0, exoManufacturer: Auxivo})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Nee, sizeAdjustable: Ja, mechanism: door momentenevenwicht, direction: 1}]","(:Dof {dofId: 1, nameNeg: extensie van de rug, dofDirection: ExtFlex, namePos: flexie van de rug, dofName: Flexie(+)/Extensie(-)_Rug})"
"(:Exo {exoId: 35, exoDescription: De LiftSuit is een passief exosuit dat de rug en de heup ontlast bij het statisch of repetitief vooroverbuigen van de romp zoals bv. bij het tillen van zware voorwerpen., exoMaterial: zachte materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: LiftSuit 2.0, exoManufacturer: Auxivo})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Nee, sizeAdjustable: Ja, mechanism: door momentenevenwicht, direction: 1}]","(:Dof {dofId: 4, nameNeg: extensie van de heup, dofDirection: ExtFlex, namePos: flexie van de heup, dofName: Flexie(+)/Extensie(-)_Heup})"
"(:Exo {exoId: 36, exoDescription: De Skelex 360-XFR is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Skelex 360-XFR, exoManufacturer: Skelex})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Nee, lowerBoundMinAngle: 30, lowerBoundMaxAngle: 30, upperBoundMinAngle: 180, sizeAdjustable: Ja, mechanism: door momentenevenwicht, upperBoundMaxAngle: 180, direction: -1}]","(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
"(:Exo {exoId: 36, exoDescription: De Skelex 360-XFR is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Skelex 360-XFR, exoManufacturer: Skelex})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, maxAngle: -25, minAngle: -25, adjustable: Nee, mechanism: door blokkage, direction: -1}]","(:Dof {dofId: 12, nameNeg: retroflexie van de schouder, dofDirection: ExtFlex, namePos: anteflexie van de schouder, dofName: Anteflexie(+)/Retroflexie(-)_Schouder})"
"(:Exo {exoId: 36, exoDescription: De Skelex 360-XFR is een passief exoskelet dat de schouders ontlast bij bovenhands werk., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Skelex 360-XFR, exoManufacturer: Skelex})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Nee, lowerBoundMinAngle: 45, lowerBoundMaxAngle: 45, upperBoundMinAngle: 145, sizeAdjustable: Ja, mechanism: door momentenevenwicht, upperBoundMaxAngle: 145, direction: -1}]","(:Dof {dofId: 13, nameNeg: adductie van de schouder, dofDirection: AddAbd, namePos: abductie van de schouder, dofName: Abductie(+)/Adductie(-)_Schouder})"
"(:Exo {exoId: 37, exoDescription: De Skelex Neck Support is een passief exoskelet dat de nek ontlast bij het statisch achteroverbuigen van het hoofd., exoMaterial: harde materialen, exoOneTwoSided: dubbelzijdig, exoActivePassive: passief, exoName: Skelex Neck Support, exoManufacturer: Skelex})","[:GIVES_POSTURAL_SUPPORT_IN {aim: Ja, rangeAdjustable: Nee, sizeAdjustable: Nee, mechanism: door momentenevenwicht, direction: -1}]","(:Dof {dofId: 9, nameNeg: extensie van de nek, dofDirection: ExtFlex, namePos: flexie van de nek, dofName: Flexie(+)/Extensie(-)_Nek})"
